neighbourhood,room_type,minimum_nights,availability_365,price
SECOND WARD,Entire home/apt,1,310,141.0
SECOND WARD,Entire home/apt,1,129,157.0
SIXTH WARD,Entire home/apt,1,346,80.0
ELEVENTH WARD,Entire home/apt,31,129,104.0
SECOND WARD,Entire home/apt,30,269,216.0
THIRTEENTH WARD,Entire home/apt,3,56,156.0
THIRTEENTH WARD,Entire home/apt,2,156,92.0
SECOND WARD,Entire home/apt,13,270,109.0
THIRTEENTH WARD,Entire home/apt,2,22,120.0
NINTH WARD,Entire home/apt,1,28,233.0
SIXTH WARD,Entire home/apt,2,74,102.0
SIXTH WARD,Entire home/apt,14,365,68.0
THIRD WARD,Entire home/apt,1,356,84.0
TENTH WARD,Entire home/apt,1,1,250.0
NINTH WARD,Private room,2,360,45.0
NINTH WARD,Entire home/apt,1,347,85.0
SEVENTH WARD,Entire home/apt,2,353,78.0
FIFTH WARD,Entire home/apt,2,362,102.0
SIXTH WARD,Private room,5,267,47.0
SIXTH WARD,Entire home/apt,7,309,93.0
THIRTEENTH WARD,Entire home/apt,2,21,105.0
SIXTH WARD,Entire home/apt,1,340,140.0
TENTH WARD,Private room,1,89,82.0
FOURTEENTH WARD,Entire home/apt,1,257,71.0
FOURTEENTH WARD,Private room,1,160,47.0
THIRD WARD,Entire home/apt,30,364,71.0
SIXTH WARD,Entire home/apt,3,310,76.0
FIFTH WARD,Entire home/apt,2,90,86.0
FOURTEENTH WARD,Entire home/apt,1,336,204.0
FIFTH WARD,Entire home/apt,3,277,105.0
NINTH WARD,Entire home/apt,1,122,704.0
NINTH WARD,Private room,1,137,119.0
SIXTH WARD,Private room,1,131,151.0
FOURTEENTH WARD,Entire home/apt,14,357,140.0
THIRTEENTH WARD,Entire home/apt,1,296,138.0
NINTH WARD,Private room,1,133,121.0
NINTH WARD,Private room,1,132,119.0
FIFTH WARD,Entire home/apt,2,97,99.0
NINTH WARD,Entire home/apt,30,92,85.0
THIRTEENTH WARD,Private room,5,364,57.0
SIXTH WARD,Entire home/apt,1,362,95.0
NINTH WARD,Entire home/apt,1,359,94.0
FIFTEENTH WARD,Entire home/apt,2,329,276.0
SIXTH WARD,Entire home/apt,3,364,120.0
FIRST WARD,Entire home/apt,2,105,292.0
TWELFTH WARD,Entire home/apt,3,309,150.0
SECOND WARD,Private room,1,345,86.0
THIRTEENTH WARD,Private room,5,89,73.0
THIRD WARD,Entire home/apt,2,364,86.0
FOURTEENTH WARD,Private room,180,219,56.0
SIXTH WARD,Entire home/apt,1,362,98.0
TENTH WARD,Entire home/apt,2,252,65.0
THIRD WARD,Private room,1,364,39.0
THIRD WARD,Private room,1,309,49.0
THIRD WARD,Entire home/apt,2,356,122.0
TENTH WARD,Entire home/apt,2,247,237.0
SEVENTH WARD,Entire home/apt,1,352,140.0
TENTH WARD,Private room,30,340,70.0
THIRTEENTH WARD,Entire home/apt,1,269,300.0
TENTH WARD,Entire home/apt,1,324,205.0
FOURTEENTH WARD,Entire home/apt,28,350,70.0
TENTH WARD,Private room,1,88,81.0
FIFTH WARD,Private room,1,364,93.0
THIRD WARD,Entire home/apt,14,268,72.0
THIRTEENTH WARD,Entire home/apt,1,147,69.0
THIRTEENTH WARD,Entire home/apt,1,24,92.0
THIRTEENTH WARD,Entire home/apt,2,23,107.0
SIXTH WARD,Private room,1,132,119.0
TENTH WARD,Private room,1,29,168.0
TENTH WARD,Entire home/apt,1,38,333.0
THIRTEENTH WARD,Private room,5,364,43.0
FIFTEENTH WARD,Private room,3,89,71.0
ELEVENTH WARD,Private room,5,364,70.0
SIXTH WARD,Entire home/apt,1,315,103.0
FIRST WARD,Entire home/apt,1,137,198.0
